shortForm	longForm
FiO2	fraction inspiree d'oxygene
FIRES	febrile infection-related epilepsy syndrome, syndrome de l'epilepsie liee a l'infection
FISH	Fluorescence in situ hybridization
FIV	Fecondation in vitro
FIVETE	fecondation in vitro et transfert d'embryon
FL	fausse lumiere (dissection de vaisseaux)
FLD	Fosse laterale du cerveau, vallee sylvienne
FLH	fibrolipohamartome
FLMP	fente labio-maxillo-palatine (bec-de-lievre)
FLOT	Docetaxel, 5-FU, oxaliplatine (protocole chimiotherapie)
FLU	cortisol libre urinaire
FMC	formation medicale continue
FMC/CMF	cyclophosphamide, methotrexate, fluorouracil (chimiotherapie ca du sein)
FMF	Fievre mediterraneenne familiale
FMI	fat mass index, indice de masse grasse
Fml	fibre musculaire lisse
FNA	fine-needle aspiration, biopsie-aspiration a l'aiguille fine
FNCLCC	Federation nationale des Centres de lutte contre le cancer
FND / FNG	fosse nasale droite/gauche
FNP	frottis naso-pharyngien
FNS	femoral neck screw,
FNS	vissage percutane de col femoral
FO	fond d'oeil
FO	foramen ovale ou trou de Botal
FOGD	fibroscopie oeso-gastro-duodenal
FOLFOX	Acide folinique - 5-fluoro-uracile - oxaliplatine
FOP / PFO	formamen ovale permeable, patent foramen ovale
FOSO	feuille d'ouverture de salle d'operation
FOTT	Facio oral tract therapy,
FOTT	Therapie pluridisciplinaire pour evaluation et traitement des troubles de la deglutition
FP	femoro-patellaire
FPB	flexor pollicis brevis, court flechisseur du pouce
FPI / IPF	Fibrose pulmonaire idiopathique,
FPI / IPF	Idiopathic pulmonary fibrosis
FPL	flexor pollicis longus, long flechisseur du pouce
FR	facteur rhumatoide
FRAX	Fracture risk assessment tool,
FRAX	Echelle d'evaluation de risque d'osteoporose, score de 0 a 40 %
FRCV	facteurs de risque cardio-vasculaire
FREP	Facteur de risque d'embolie pulmonaire
FRMTEV	facteurs de risque de maladie thromboembolique veineuse
FRP	fibrose retroperitoneale
FS / FSC	formule sanguine / complete
FSE	feuille de soins electronique
FSGS	focal segmental glomerulosclerosis, sclerose glomerulaire segmentaire focale
FSH	Follicle stimuling hormone,
FSH	Hormone folliculo-stimulante
FSH-RO	Follicle stimulating hormone-resistant ovaries,
FSH-RO	Hormone folliculo-stimulante - ovario-resistante
FSP	feuille de soins papier
FSS	formule sanguine simple
FT	Facteur tissulaire, thromboplastine tissulaire
FTE / FTI	femoro-tibial externe / interne
FUO / FOI	fever of unknown origin, fievre d'origine indeterminee
FUS	Focused ultrasound surgery,
FUS	Chirurgie par ultrasons focalises
FV	fibrillation ventriculaire
FX	fracture
G-CSF	Granulocyte colony-stimulating factor, Facteur de croissance des granulocytes
G6PD	glucose 6 phosphate deshydrogenases (deficit enzymatique des erythrocytes)
GABA	gamma-aminobutiric acid, acide gamma-aminobutyrique
GABHS	Group A beta-hemolytic streptococci,
GABHS	Streptocoques betes-hemolytiques du groupe A
GAFA	glaucome aigu par fermeture de l'angle
GAJ	glycemie a jeun
Gamma GT	glutamyl transferase, enzyme hepatique impliquee dans le metabolisme des acides amines
GAVE	Gastic antral vascular ectasia,
GAVE	Syndrome d'ectasie vasculaire antrale
GB	globule blanc
GBA	Geriatric basis assessment,
GBA	Examen geriatrique de base
GBM	glioblastome multiforme, dit aussi astrocytome de grade 4
GBP	gastric by-pass
GBP omega	mini gastric by-pass
GBR	guided bone regeneration, regeneration osseuse guidee (avec membrane en collagene)
GBS	Guillain-Barre syndrome,
GBS	Syndrome de Guillain-Barre
GBS / SGB	Group B streptocoque,
GBS / SGB	Streptocoque du grougpe B
GCAO	glaucome chronique a angle ouvert
GCS	Glasgow coma scale, score de Glasgow
GDCs	Guglielmi detachable coils, spires electrodetachables de Guglielmi (traitement de l'anevrisme)
GDS	Geriatric depression scale,
GDS	Indice de la depression en geriatrie (echelle de 1a 15)
GDS / GDSA	Gaz du sang (arteriel)
GEA	gastro-enterite aigue
GEI	gastro-enterite infantile
GERD/RGO	gastro-esophageal reflux disease, reflux gastro-oesophagien
GEU	grossesse extra-uterine
GFA	glaucome par fermeture de l'angle
GFAP	Glial fibrillary acidic protein,
GFAP	proteine acide fibrillaire gliale (SNC)
GFP	green fluorescing protein, pour localisation dans une cellule (vert)
GFR	glomerular filtration rate, taux de filtration glomerulaire
GGT ou GamaGT	gamma glutamyl transpeptidase
GH	growth hormone, hormone somatotrope (hormone de croissance)
GH-RH	gammahydroxy butyrate ou acide gamma-hydroxybutyrique (drogue du violeur)
GHM	groupe homogene de malade
GHS	groupe homogene de sejour
GHTP	gastropathie d'hypertension portale
GIA	agrafes circulaires (endo-GIA : laparoscopiques)
GIAD	Gastrointestinal angiodysplasia,
GIAD	Angiodysplasie gastro-intestinale
GIFT	Gamete intrafallopian transfer,
GIFT	Transfert intra-tubaire de gametes
GINA	Global initiative for asthma,
GINA	Guide pour le traitement et la prevention de l'asthme
GIST /TSGI	gastrointestinal stromal tumor, tumeur stromale gatro-intestinale
GIU	Grossesse intra-uterine
GLI	Grossesse de localisation indeterminee
GLILD	Granulomatosis lymphocytic interstitial lung disease, Pneumopathie interstitielle granulomato-lymphocytaire
GLPS	Global longitudinal peak strain, analyse de defomation du muscle cardiaque
GM-CSF	Granulocyte-macrophage colony stimulating factor, Facteur de stimulation des  granulocytes et des macrophages
GM / GMC	gammapathie monoclonale
GM1 / GM2 / GM3	Gangliosidose GM1 / GM2 /  GM3
GMN	Goitre multi-nodulaire
GMSI	gammapathie monoclonale de signification indeterminee
GN	glomerulonephrite
Gn-RH	Gonadotropin-releasing hormone, Hormone de liberation des gonadotrophines
GNA / GNC	glomerulonephrite aigue / chronique
GNAPS	Glomerulonephrite post-streptococcique
GNCB	gram-negative bacteria, bacterie a gram negatif
GNEM	glomerulonephrite extra-membraneuse
GNMP	glomerulonephrite membrano-proliferative
GnRH	gonodotropin-releasing hormone,
GnRH	gonadoliberine
GNRP	glomerulonephrite rapidement progressive
GOJ / GEJ	Gastro-oesophageal/ esophageal junction,
GOJ / GEJ	Jonction gastro-oesophagienne
GORD / RGO	Gastro-oesophageal reflux disease,
GORD / RGO	Reflux gastro-oesophagien
GP	glycemie plasmatique
GPA	Gravida - Para - Aborta, nombre de grossesses, nombre d'accouchements duree sup. a 20 semaines, nombre de grossesses non finalisees
GPA	Gestation pour autrui
GPAO	glaucome primitif a angle ouvert
GPE	gastrostomie percutanee endoscopique
GPEDs	generalized periodic epileptiform discharges, decharges epileptiformes generalisees
GR	globule rouge
GSH	Glutathion
GSLA	Echelle d'evaluation de l'atherosclerose et thrombose
GSP	Ganglion spheno-palatin
GTPS	greater trochanteric pain syndrome, syndrome douloureux du trochanter
GTR	guided tissue regeneration, regeneration tissulaire guidee (avec membrane en collagene)
GVC / VBG	Gastroplastie verticale calibree,
GVC / VBG	Vertical banded gastroplasty
GVHD	Graft versus host disease,
GVHD	Reaction du greffon contre l'hote
GVLD	Graft versus leukemia disease,
GVLD	Reaction du greffon (cellules souches) contre hote
GVS	grande veine saphene (saphene interne)
GxPx	gravida x, para x, nombre de grossesses + nombre d'accouchement apres 24 semaines (ex. G2P2 : 2 grossesses, 2 accouchements)
h	homme
H-SIL	high grade squamous intraepithelial lesion, lesion intraepitheliale de haut grade (dysplasie du col uterin, differents stades)
HA	hypoallergenique (lait bebe)
HAART	highly active antiretroviral therapy, therapie antiretrovirale hautement active
HACEK	haemophilus, aggregatibacter, cardibacterium, eikenella et kingella
HAD	hospitalisation a domicile
HAD / HAG	hypertrophie auriculaire droite/gauche
HAGL	humeral avulsion of gleno-humeral ligaments, lesion de l'insertion du ligament gleno-humeral interne
HAI	hemagglutination indirecte
HAL	Haemorroidal artery ligation, ligature d'artere hemorroidale  (guidee par doppler)
HALS	Hand-assisted laparoscopic surgery, Chirurgie laparoscopique assistee par la main (Gelport)
HaNDL	Transient headache and neurologic deficits with cerebrospinal fluid lymphocytosis (syndrome)
HAPE	High-altitude pulmonary edema,
HAPE	OEdeme pulmonaire de haute altitude
HAS-BLED	score d'evaluation de risque hemorragique (echelle de 9)
hATTR	Amylose hereditaire a transthyretine
HAV	hallucinations audio-visuelles
HAV	hallucinations accoustico-verbales
Hb	hemoglobine
Hb02	oxyhemoglobine
HbA1C	hemoglobine glyquee
HBAG	hemi-bloc anterieur gauche
HbCO	Carboxyhemoglobine
HbF	Hemoglobine foetale
HBP	hypertrophie benigne de la prostate
HBPG	hemi-bloc posterieur gauche
HBPM	heparine de bas poids moleculaire
HbS	Hemoglobine S
HBV	Hepatitis B virus,
HBV	Virus de l'hepatite B
HC	hemoculture
HC / HCD / HCG	Hypocondre / droit / gauche
HCG	human chorionic gonadotropin, hormone gonadotrophine chorionique
HCL	histiocytose a cellules de Langerhans
HCS	hyperplasie congenitale des surrenales
HCT	hypercholesterolemie essentielle
HCV	hepatitis C virus, virus de l'hepatite C
HD	Hippocratisme digital
HD	hernie discale
HDB / HDH	hemorragie digestive basse/haute
HDCT	High dose cytotoxic therapy,
HDCT	Traitement cytotoxique a haute dose
HDL	high density lipoprotein, lipoproteine de haute densite
HDM/HMA	histoire de la maladie, histoire de la maladie actuelle
HDT	hospitalisation a la demande d'un tiers
HED	hematome extra-dural ou hematome epi-dural
HEI	Hyperechogenicite intestinale (foetale)
HEI	hypereosinophilie idiopathique
HELLP	hemolysis, elevated liver enzymes, low platelets, syndrome d'hemolyse-hepatocytolyse-thrombopenie
HES	hemateine eosine safran (coloration)
HEXVIX	Hexyl aminolevulinate, produit radiopharmaceutique a usage diagnostique (cystoscopie de fluorescence)
HF-pEF	heart failure with preserved ejection fraction, insuffisance cardiaque avec fraction d'ejection preservee (diastolique)
HF-rEF	heart failure with reduced ejection fraction, insuffisance cardiaque avec diminution de la fraction d'ejection (systolique)
HFNC / LNHD	high flow nasal cannula, lunettes nasales a haut debit (oxygenation nouveau-ne)
HFO	high frequency oscillations, oscillations a haute frequence (assistance respiratoire)
HFpEF	Heart failure with preserved ejection fraction,
HFpEF	Insuffisance cardiaque avec preservation de fraction d'ejection
HFR	Hypofractionated radiotherapy,
HFR	Radiotherapie hypofractionnee
HFrEF	Heart failure with reduced ejection fraction,
HFrEF	Insuffisance cardiaque aigue avec fraction d'ejection alteree
HG	hyperemese gravidique
HGE	hepato-gastro-enterologie
HGF	hepatocyte growth factor, facteur de croissance des hepatocytes
HGPO	hyperglycemie provoquee par voie orale
HGT	hemoglucotest
HH	histoire de l'hospitalisation
HHS / SH	hypersensitivity sydrome, syndrome d'hypersensibilite
HHV	human herpes virus
HI	hernie inguinale
HIB	Hernie inguinale bilaterale
HIC	hypertension intra-cranienne
HID	herniated intervertebral disk, hernie discale
HID / HIG	hernie inguinale droite / gauche
HIDA	scintigraphie isotopique
HIDS	hyper IgD syndrome, syndrome d'hyper-immunoglobulinemie D
HIFU	Transrectal high intensity focused ultrasound,
HIFU	Destruction transrectale de tissu prostatique par echographie focalisee a haute intensite
HIM	Hemangiome intramusculaire
HINTS	Head impulse, nystagmus, test of skew,
HINTS	Tests d'impulsion passive de la tete, de nystagmus, et de divergence verticale
HIP	hemorragie intra-parenchymateuse
HIPA	Heparin-induced platelet aggregation/activation,
HIPA	Test d'activation plaquettaire en presence d'heparine
HIPEC / CHIP	Hyperthermic intraperitoneal chemotherapy,
HIPEC / CHIP	Chimiotherapie hyperthermique intraperitoneale
HIS	hybridation in situ
HIT	Head impulse test : test de reponse des canaux semi-circulaires aux mouvements de la tete
HIT	heparin induced thrombocytopenia, thrombocytopenie induite par l'heparine
HITOC	Hyperthermic intrathoracic chemotherapy,
HITOC	Chimiotherapie hyperthermique intrathoracique
HIV	Hemorragie intra-ventriculaire
HIV	Human immunodeficiency virus,
HIV	Virus de l'immunodeficience humaine
HK	hypokinesie
HLA	Human leucocyte antigen,
HLA	Antigene de leucocyte humain (complexe majeur d'histocompatibilite humain)
HLH	hemianopsie laterale homonyme
HLM	hematies et leucocytes par minute (debit)
HLPNN	hyperleucocytose a polynucleaires neutrophiles
HLSC	Heterotopies laminaires sous-corticales
HMG ou HPM	hepatomegalie
HMP	Hexose monophosphate
HMPAO	examen SPECT avec hexamethylpropyleneamine oxime
hMPV	human metapneumovirus,
hMPV	metapneumovirus humain
HNF	Hyperplasie nodulaire focale (foie)
HNF	heparine non fractionnee
HNPCC	hereditary non-polyposis colorectal cancer, cancer colorectal hereditaire sans polypose
HNR / HNRF	Hyperplasie nodulaire regenerative, Hyperplasie nodulaire regenerative du foie
HNSE	Heterotopies nodulaires sous-ependymaires
HO	hospitalisation d'office
HOI	hypotension orthostatique idiopathique
HOMA	Homeostasis model assessment of insuline resistance,
HOMA	Index d'evaluation d'homeostasie de resistance a l'insuline (3 groupes : <2, 2-4, >4)
HONOS	Health of the Nation Outcome Scales,
HONOS	Evaluation de sante mentale des adultes
HONOSCA	Health of the Nation Outcome Scales Children and Adolescents,
HONOSCA	Evaluation de sante mentale des enfants et adolescents
HOPE	Hypothermic oxygenated liver perfusion,
HOPE	Perfusion hypothermique du greffon hepatique
HOS	hypotension orthostatique secondaire
HP	helicobacter pylori
HPAI / HPAIV	Highly pathogenic avian influenza / virus,
HPAI / HPAIV	Virus influenza aviaire hautement pathogene
HPE	hepato-porto -enterostomie
HPFH	hereditary persistence of fetal haemoglobin,
HPFH	persistance hereditaire d'hemoglobine foetale
HPIV	human parainfluenza virus
HPN	hydrocephalie a pression normale
HPP	hypertension pulmonaire primitive (renommee en HTPA)
HPS	Axe hypothalamo-pituito-surrenalien
HPTI	Hyperparthyroidie primitive
HPV	human papillomavirus, papillomavirus humain
HPV-HR	human papillomavirus + recherche typage viral (si haut risque)
HRP	hematome retro-placentaire
HRT	Hysterectomie radicale totale
HRT/TSH	hormone replacement therapy, traitement substitutif hormonal
HS	hydradenite suppuree
HSA	hemorragie sous-arachnoidienne
HSAN	Hereditary sensory and autonomic neuropathy
HSAN	Neuropathie sensitve et autonome hereditaire
HSAS	Hydrocephalie avec stenose de l'acqueduc de Sylvius
HSC	hysteroscopie
HSCF	hematome sous-capsulaire du foie
HSCR	Maladie de Hirschsprung
HSCT	hemotopoietic stem cell transplantation,
HSCT	greffe de cellules souches hematopoietiques
HSD	hematome sous-dural
HSF	hyalinose segmentaire et focale
HSG	hystero-salpingographie
HSG	Hematome sous-galeal
HSIL	High grade superficial intra-epithelial lesion,
HSIL	Lesion malphighienne intr-epitheliale de haut grade (dysplasie du col)
HSM	hepato-spleno-megalie
HSO / OHSS	hyperstimulation ovarienne, ovarian hyerstimulation syndrome
HSSM	hemisyndrome sensitivo-moteur
HSV	herpes simplex virus
HTA	hypertension arterielle
HTAP	hypertension arterielle pulmonaire
Htc	hematocrite
HTE	loge hyo-thyro-epiglottique
HTIC	hypertension intra-cranienne
HTIO	Hypertonie intra-oculaire
HTLV	human T cell leukemia/lymphoma virus, virus humain T lymphotropique
HTO	hypertension oculaire
HTP	hypertension portale
HTP / LTP	High trim point / low trim point,
HTP / LTP	Borne superieure / inferieure de duree de sejour
HTPP	Human term placental peroxidase
HTS	high-throughput sequencing, sequencage haut debit
HU	hematurie
HVACC	Hypoventilation alveolaire centrale congenitale = syndome d'Ondine
HVD / HVG	Hypertrophie ventriculaire droite / gauche
HVSK	herpes-virus lie au sarcome de Kaposi
I.A.	intra-arterielle (donne de medicament)
IA / IAO	insuffisance aortique
IAA	intoxication alcoolique aigue
IABP / PBIA	Intra-aortic balloon pump,
IABP / PBIA	Ballonnet de contre-pulsation intra-aortique
IAC	insemination artificielle par conjoint
IAD	insemination artificielle par donneur
IAH	index apnee-hypopnee
IAK	islet after kidney, greffe ilots apres greffe de rein
IAMI	insuffisance arterielle du membre inferieur
IAO	infirmier d'accueil et d'orientation
IAT2	alpha-amylase trypsin inhibitor
IBD	Inflammatory bowel disease,
IBD	Maladie inflammatoire de l'intestin
IBM	Inclusion body myositis, myosite a inclusions
IBS	infection bacterienne septicemique
IC	insuffisance cardiaque ou coronaire
IC	index cardiaque
ICALIN	indicateur composite des activites de lutte contre les infections nosocomiales
ICC	insuffisance cardiaque congestive
ICF / CIF	International classification of functioning, disability and health,
ICF / CIF	Classification internationale du fonctionnement
ICFEN	Insuffisance cardiaque a fraction d'ejection normale
ICH	Intracerebral hemmorage score,
ICH	Score d'hemorragie intracerebrale (score de Hemphill), echelle de 0-6
ICL	Institution commune LaMal
ICP	incision cervico-prostatique
ICP	inversion cerebro-placentaire
ICP	intervention coronarienne percutanee
ICP/PCI	intervention coronaire percutanee, percutaneous coronary intervention = ACTP / PTCA
ICR	Ischemie cerebrale retardee
ICRP	index cerebro-placentaire
ICSI	intra cytoplasmic sperm injection, micro-injection intracytoplasmique d'un spermatozoide
ICT	isthme cavo-tricuspidien
ID	in diem, pendant la journee
IDM	infarctus du myocarde
IDR	intradermoreaction a la tuberculine (test pour BCG)
IEC	inhibiteur de l'enzyme de conversion
IELT	intravaginal ejaculation latency time, temps de latence d'ejaculation intravaginale
IEPS	immuno-electrophorese des protides sanguins
IEPU	immuno-electrophorese des urines
IET	intubation endotracheale
IFD	immunofluorescence directe
IFI	immunofluorescence indirecte
IFN	Interferon
iFR	Instantaneous wave-free ratio
iFR	Ratio diagnostic de stenose : calcul de pression intra-coronaire
Ig	immunoglobuline
IGF	insulin-like growth factor (somatomedine)
IGRA / TDIG	interferon gamma release assay,
IGRA / TDIG	test de detection de production d'interferon gamma
IGRAs	Interferon gamma release assays,
IGRAs	Propriete des tests gamma interferon
IGRT / RTGI	Imaged guided radiation therapy,
IGRT / RTGI	Radiotherapie guidee par l'image
IGS	image-guided surgery, chirurgie guidee par l'image
IH	Inhibiting hormone, Hormone d'inhibition
IH	imperforation de l'hymen
IL	interleukine
ILA	Interventional lung assist,
ILA	Assistance pulmonaire interventionnelle
ILA	indice de liquide amniotique (4=oligamnios)
ILM / MLI	Internal limited membrane, membrane limitante interne (macula)
ILO	Inducible laryngeal obstruction,
ILO	Obstruction laryngee induite
IM	insuffisance mitrale
IM / IMA	infarctus du myocarde
IMAD	institution de maintien a domicile
IMAO	Inhibiteurs de monoamine oxydase (antidepresseur)
IMAT	Intensity modulated arc therapy,
IMAT	Radiotherapie a champs statiques avec modulation d'intensite
IMC	infirmite motrice cerebrale
IMCU	Intermediate medical care unit,
IMCU	Unite de soins intermediaires
IMG	interruption medicale de grossesse
IMNQ	infarctus de myocarde sans onde Q
IMQ	infarctus du myocarde avec onde Q
IMS	ischemie myocardique silencieuse
IMT / EIM	intima-media thickness, epaisseur de l'intima-media carotidienne (facteur de risque cardio-vasculaire)
IMV	intoxication medicamenteuse volontaire
IN	infection nosocomiale
iNO	oxyde nitrique inhale
INR	international normalized ratio, rapport normalise international, evaluation de coagulation sanguine utilisee pour doser les antivitamines K (taux de prothrombine)
INT	intubation
InVS	institut de veille sanitaire
IOERT	Intraoperative electron radiation therapy,
IOERT	Radiotherapie peroperatoire par electrons
IOL	intra-ocular lens, lentille implantee dans l'oeil
IOP / POI	Insuffisance ovarienne prematuree,
IOP / POI	Premature ovarian insuffisiency
IORT	intraoperative radiotherapie, radiotherapie peroperatoire (cancers mammaires)
IOT	intubation oro-tracheale
IP	index de pulsatilite (sonographie Doppler)
IPAF	Interstitial pneumonia with auto-immune features,
IPAF	Pneumopathie interstitielle avec manifestations auto-immunes
IPD	interphalangienne distale (articulation)
IPe	insuffisance veineuse des perforantes
IPF / FPI	Idiopathic pulmonary fibrosis,
IPF / FPI	Fibrose pulmonaire idiopathique
IPMN / TIPMP	intraductal papillary mucinous neoplasm of pancreas, tumeur intracanalaire papillaire et mucineuse du pancreas
IPMT / IPMN / TIPMP	intraductal papillary mucinous tumors, intraductal papillary mucinous neoplasm of pancreas, tumeurs intracanalaires papillaires et mucineuses
IPO	infection post-operatoire
IPOA	infection de prothese osteo-articulaire
IPOM	Intra peritoneal only mesh,
IPOM	Filet intraperitoneal
IPP	inhibiteur de la pompe a protons
IPS	indice de pression systolique
IR	injection intrarachidienne
IRA	insuffisance renale aigue
IRAF	insuffisance renale aigue fonctionnelle
IRC	insuffisance renale chronique
IRCT	insuffisance renale chronique terminale
IRE	Irreversible electroporation, electroporation irreversible
IRIS	immune reconstitution inflammatory syndrome, syndrome inflammatoire de reconstitution immune
IRM / MRI	Imagerie par resonnance magnetique (RMN),
IRM / MRI	Magnetic resonance imaging
IRM-TOF	imagerie par resonance magnetique en temps de vol (time-of-flight)
IRM-UHC	imagerie par resonance magnetique a ultra-haut champ
IRMf	Imagerie par resonance magnetique fonctionnelle
IRSN	inhibiteur de recapture de serotonine et noradrenaline
IRV / PC-IRV	inverse ratio ventilation, ventilation a ratio inverse / a pression controlee et ratio inverse
ISA	insuffisance surrenalienne aigue
ISD	intrisic sphincter deficiency, insuffisance sphincterienne
ISFM	Institut suisse pour la formation medicale
ISL	insuffisance surrenalienne lente
ISLA	infection spontanee du liquide d'ascite
ISNCSCI	International standards for neurological classification of spinal cord injury,
ISNCSCI	Normes internationales pour la classification des lesions de moelle epiniere
ISO	infection du site operatoire
ISR / RSI	intubation en sequence rapide, rapid sequence induction
ISRS	inhibiteur selectif de recapture de la serotonine
ISS	injury severity score, score de gravite des blessures
IST	infection sexuellement transmissible
IT	insuffisance tricuspide
ITA	islet transplant alone, greffe d'ilots seuls
ITBS/ITBFS	ilio tibial band syndrome, iliotibial band friction syndrome, syndrome de Maissiat ou de la bandelette ilio-tiiale de frottement
ITG	Interruption de grossesse
ITL	infection tuberculeuse latente
ITP	idiopathic thrombocytopenic purpura, purpura thrombocytopenique idiopathieu
ITPC	Intervention transluminale percutanee par catheterisme
ITT	intent to treat, intention de traiter
ITV	insertion transvalvulaire
IU	infection urinaire
IUE	incontinence urinaire d'effort
IUH	Infection urinaire haute
IV	intraveineuse
IVA	interventriculaire anterieure (reseau coronaire gauche)
IVAD	implantable ventricular assist device, dispositif d'assistance cardiaque implantable
IVB	insuffisance vertebro-basilaire
IVC	insuffisance veineuse chronique
IVD	insuffisance ventriculaire droite
IVG	insuffisance ventriculaire gauche
IVIG	intravenous immunoglobulin, immunoglobulines voie intraveineuse
IVM	intubation-ventilation mecanique
IVMI	insuffisance veineuse des membres inferieurs
IVP	interventriculaire posterieure (coronaire)
IVRS	infection des voies respiratoires superieures
IVS	insuffisance veineuse superficielle
IVT	injection intra-vitreenne
IVU	Infection des voies urinaires
IVUS	intravascular ultrasound imaging, imagerie intravasculaire de vaisseaux coronaires
JCV	JC virus, famille des polyomavirus
JDE	jonction dermo-epidermique
JIB	jejuno-ileal bypass, derivation jejuno-ileale
K	cancer
K-ABC	Kaufman-assessment battery for children,
K-ABC	Outil d'evaluation pour enfants (Kaufman), 4-5 sujets selon l'age de l'enfant
K/DOQI	kidney disease outcome quality initiative, stades de classification de l'insuffisance renale chronque (echelle de 1 a 5)
KB	Kissing balloon (coronaires)
KBP	cancer bronchopulmonaire
KCO	coefficient de diffusion du CO
KDIGO	kidney disease : improving global outcomes,
KDIGO	maladie renale : nouvelles recommandations
KESH	klebsiella, enterobacter, serratia et hafnia (groupe de bacteries)
KHF	kyste hydatique du foie
KISS	Krankenhaus infektions surveillance system,
KISS	Reseau d'alerte, d'investigation et de surveillance des infections nosocomiales
KLAP	keratoplastie lamellaire anterieure profond
KOH	Hydroxyde de potassium
KOS	Kyste osseux sous-chondral
KPC	klebsiella pneumoniae carbapenemase, pneumonie a klebsiella carbapenemase
KPP	keratodermie palmo-plantaire
KPR	kyste de la poche de Rathke (hypophyse)
KPS	keratite ponctuee superficielle
KRAS	mutation de gene RAS
KSC	kyste sacro-coccygien
KT	catheter
KTAO	Catheter arteriel ombilical
KTC	catheter central
KTIS	catheter interscalenique
KTO	catheter ombilical
KTT	kyste du tractus thyreoglosse
KTVO	catheter veineux ombilical
KUB	kidney-ureter-bladder, rein-uretere-vessie (radio rayons x)
L	leucocyte
LA	long acting, liberation modifiee de la substance active
LAAC	ligament annulaire anterieur du carpe = retinaculum des flechisseurs
LABA	Long-acting beta-agonists, Beta 2 agoniste de longue duree d'action (bronchodilatateur)
LAC	ligament acromio-coracoidien
LAC	liquide amniotique clair
LACI	lacunar infarct, infarctus cerebral lacunaire
LADA	latent autoimmune diabetes in adults, diabete auto-immune latent de l'adulte
LAF	lampe a fente
LAGB	laparoscopic adjustable gastric banding, anneau gastrique ajustable
LAL	Ligament antero-lateral (genou)
LAL	Leucemie aigue lymphoblastique
LAM	Leucemie aigue myeloblastique
LAM	liquide amniotique meconial
LAM-MRC	Leucemie aigue myeloblastiques avec remaniements de type myelodysplasiques
LAMA	Long-acting muscarinic acetycholine receptor, recepteurs muscariniques de longue duree d'action (bronchodilatateur)
LAMN	Low grade appendiceal mucinous neoplasm,
LAMN	Neoplasie mucineuse appendiculaire de bas grade
LAP	lesions ano-perineales
LARS	Low anterior resection syndrome,
LARS	Syndrome de resection anterieure basse
LARVH	Laparoscopic assisted radical vaginal hysterectomy,
LARVH	Hysterectomie radicale, par voie vaginale, assistee par laparoscopie
LASER	light amplication by stimulated emission of radiation, amplification de lumiere par emission stimulee de radiation optique
LASGB	laparoscopic adjustable silicone gastric banding, prothese de restriction gastrique (Lap-band, Swedish adjustable gastric band = SAGB)
LAT	Liquide amniotique teinte
LAVH	Laparoscopic assisted vaginal hysterectomy,
LAVH	Hysterectomie totale par voievaginale, assistee par laparoscopie
LBA	Lavage broncho-alveolaire
LBDGC / DLBCL	lymphome B diffus a grandes cellules, diffuse large-B cells lymphomas
LBRF	louse-borne relapsing fever,
LBRF	fievre recurrente a poux (borreliose)
LBNP	lower body negative pressure, pression negative des membres inferieurs
LCA / ACL	ligament croise anterieur, anterior cruciate ligament
LCB	long chef du biceps
LCC / CRL	Longueur cranio-caudale,
LCC / CRL	Crown-rump length
LCH	luxation congenitale de hanche
LCIS	lobular carcinoma in situ, carcinome lobulaire in situ
LCL	ligament collateral lateral
LCM	Ligament collateral medial
LCM	Lymphome des cellules du manteau
LCOS	Low cardiac output syndrome,
LCOS	Syndrome de bas debit cardiaque (post-operatoire)
LCP	local compression plate, plaque de compression periprothetique
LCP / PCL	ligament croise posterieur, posterior cruciate ligament
LCR	liquide cephalo-rachidien
LCS	liquide cerebro-spinal
LCU	ligament collateral ulnaire
LDB	Ligne de base
LDC	Lentilles de contact
LDH	Lactate deshydrogenase (enzyme)
LDL	Low density lipoprotein,
LDL	Lipoproteine de basse densite
LEAD	lupus erythemateux aigu dissemine
LEC	liquide extra-cellulaire
LEC / ESWL	lithotripsie / lithotritie extracorporelle,
LEC / ESWL	Extracorporeal shock wave lithotripsy
LECOC	lithotripsie extracorporelle par ondes de chocs
LED / LES	lupus erythemateux dissemine, lupus erythemateux systemique
LEEP	Loop electrosurgical excision procedure,
LEEP	Technique d'excision electrochirurgicale a l'anse diathermique = electroconisation a la petite anse
LEMP	leuco-encephalopathie multifocale progressive
LEMS	syndrome myasthenique de Lambert-Eaton
LEPR	leuco-encephalopathie posterieure reversible
LESS	laparo-endoscopic single-site surgery, Chirurgie laparoscopique par abord unique (Triport, Quadport)
LFT	lettre de fin de traitement
LGC	logiciel de gestion de cabinet
LGM	lesions glomerulaires minimes
LGMD / DMC	Limb Girdle Muscular Dystrophy,
LGMD / DMC	Dystrophie musculaire des ceintures
LGP	liberation proximale des gastrocnemiens
LGV	lymphogranulome venerien
LH	Luteinizing hormone, Hormone luteinisante (gonadostimuline)
LH-RH	luteinizing hormone-releasing hormone (gonadoliberine)
LHNPL / NLPHL	lymphome de Hodgkin nodulaire a predominance lymphocytaire, nodular lymphocytic predominant Hodgkin lymphoma
LID / LIG	lobe inferieur droit / gauche
LIHT	Laboratoire d'immuno-hematologie transfusionnelle
LIN	lutte contre les infections nosocomiales
LINAC	Linear accelerator,
LINAC	Accelerateur lineaire
LIP / PIL	Lymphoid interstitial pneumonia,
LIP / PIL	Pneumopathie interstitielle lymphocytaire
LISL	ligament interosseux scapho-lunaire
